"id","code_prefix_start","name","parent_id","name@es"
"ecg110208","110208","Otras cuentas por cobrar relacionadas","ec1102","Otras cuentas por cobrar relacionadas"
"ecg210401","210401","Obligaciones con instituciones financieras locales","ec2104","Obligaciones con instituciones financieras locales"
"ecg210402","210402","Obligaciones con instituciones financieras del exterior","ec2104","Obligaciones con instituciones financieras del exterior"
"ecg210301","210301","Cuentas y documentos por pagar locales","ec2103","Cuentas y documentos por pagar locales"
"ecg21070403","21070403","Décimos por pagar","ec210704","Décimos por pagar"
"ecg220301","220301","Obligaciones con instituciones financieras locales","ec2203","Obligaciones con instituciones financieras locales"
"ecg520108","520108","Mantenimiento y reparaciones","ec5201","Mantenimiento y reparaciones"
"ecg520109","520109","Arrendamiento operativo","ec5201","Arrendamiento operativo"
"ecg520115","520115","Transporte","ec5201","Transporte"
"ecg520116","520116","Gastos de gestion (agasajos a accionistas, trabajadores y clientes)","ec5201","Gastos de gestion (agasajos a accionistas, trabajadores y clientes)"
"ecg520117","520117","Travel expenses","ec5201","Gastos de viaje"
"ecg520119","520119","Notarios y registradores de la propiedad o mercantiles","ec5201","Notarios y registradores de la propiedad o mercantiles"
"ecg520208","520208","Mantenimiento y reparaciones","ec5202","Mantenimiento y reparaciones"
"ecg520209","520209","Arrendamiento operativo","ec5202","Arrendamiento operativo"
"ecg520215","520215","Transporte","ec5202","Transporte"
"ecg520216","520216","Gastos de gestion (agasajos a accionistas, trabajadores y clientes)","ec5202","Gastos de gestion (agasajos a accionistas, trabajadores y clientes)"
"ecg520217","520217","Gastos de viaje","ec5202","Gastos de viaje"
"ecg520219","520219","Notarios y registradores de la propiedad o mercantiles","ec5202","Notarios y registradores de la propiedad o mercantiles"
"ecg520302","520302","Comisiones","ec5203","Comisiones"
"ecg520217","520217","Gastos de viaje","ec5202","Gastos de viaje"
"ecg520216","520216","Gastos de gestion (agasajos a accionistas, trabajadores y clientes)","ec5202","Gastos de gestion (agasajos a accionistas, trabajadores y clientes)"
"ecg52020405","52020405","Otros gastos de planes de beneficios a empleados","ec520204","Otros gastos de planes de beneficios a empleados"